All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	40	2018-10-30_15:32:14	0	ZEROING DATA	True	0.7138153	99.80633	100	99.88934	0.01855469	3.831829E-06	0	0.03072836	0	0	0	99.99996	5.47632E-05	4.688599	0	4.688599	0	0	0	0	0	0	1	1	1	1	1	1	1	
	41	2018-10-30_15:32:14	0	Ltd Random	False	0.4736162	67.80458	83.33333	67.3169	89.74362	50.20987	0	89.74366	90	90.00001	0	99.7844	0.4552191	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
	42	2018-10-30_15:32:16	0	ZEROING DATA	True	0.952644	99.70696	100	99.83255	0.001487387	1.400291E-08	0	0.001487387	0	0	0	100	3.30532E-06	5.626381	2.109886	0	0	3.516495	0	0	0	0	1	1	1	1	1	1	1	
	43	2018-10-30_15:32:16	0	Presets_dockPreset_3	False	0.5361193	50.35027	70.56877	57.41518	109.8386	113.3065	0	134.8019	20.16205	155.4828	3.445799	99.68009	0.5967085	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
	44	2018-10-30_15:32:17	0	ZEROING DATA	True	0.4726868	99.63132	100	99.78933	0.3331604	0.001040833	0	0.4078262	0	0	0	99.99956	0.0008244749	6.329674	4.219788	0	0	2.109886	0	0	0	0	1	1	1	1	1	1	1	
	45	2018-10-30_15:32:17	0	Ltd Random	True	0.4187087	54.34204	100	66.76688	89.52536	89.99747	0	149.2144	90	0	0	99.78011	0.4652636	5.391945	0	0	0	5.391945	0	0	0	0	0	0	1	0	0	1	1	
	46	2018-10-30_15:32:18	0	ZEROING DATA	True	0.5377961	99.52366	100	99.72781	0.131897	0.0001945051	0	0.2185186	0	0	0	99.99979	0.0003895668	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	47	2018-10-30_15:32:19	0	Presets_dockPreset_5	True	0.4735635	87.44106	61.23993	71.89088	0.0002059708	4.74225E-10	0	89.7213	54.4462	45.85825	163.4461	99.74403	0.3927467	17.81679	4.923035	5.860779	0	7.032974	0	0	0	0	1	1	1	0	0	0	0	
	48	2018-10-30_15:32:19	0	ZEROING DATA	True	0.4180534	99.73852	100	99.85059	5.95184E-07	3.959824E-15	0	0.4760644	0	0	0	99.99978	0.0005289611	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	49	2018-10-30_15:32:20	0	Presets_dockPreset_4	True	0.5325211	78.52178	66.40665	71.88907	109.828	37.11902	0	1.132015	18.15042	159.2443	22.15984	99.32021	0.3862596	22.73987	10.78381	3.047607	0	8.908447	0	0	0	2	0	0	1	3	0	0	0	
	50	2018-10-30_15:32:20	0	ZEROING DATA	True	0.418065	98.77944	100	99.30254	0.5785828	0.001072444	0	0.003257171	0	0	0	99.99969	0.0006476804	5.39193	0	2.109886	0	3.282043	0	0	0	0	1	1	1	1	1	1	1	
	51	2018-10-30_15:32:22	0	Ltd Random	True	1.246256	76.47741	83.33333	79.41566	90.00253	50.99426	0	30.00686	5.008957E-06	90	5.008957E-06	99.50873	0.2900041	44.7766	9.377319	20.63005	0	14.76923	0	0	0	0	0	0	1	0	1	0	1	
	52	2018-10-30_15:32:22	0	ZEROING DATA	True	0.475331	99.79622	100	99.88355	0.2601624	0.0004223525	0	0.08676931	0	0	0	99.99976	0.0003859489	15.94131	11.48712	4.454193	0	0	0	0	0	0	1	1	1	1	1	1	1	
	53	2018-10-30_15:32:23	0	Presets_dockPreset_2	False	0.8329781	62.1108	83.6263	65.19046	89.99454	90	0	89.99453	77.37997	25.45444	62.96357	99.5751	0.4842078	4.454224	0	4.454224	0	0	0	0	0	0	0	0	1	0	0	0	0	
	54	2018-10-30_15:32:24	0	ZEROING DATA	True	0.4169752	99.40887	100	99.66222	0.4857178	0.002623788	0	0.4857086	0	0	0	99.99955	0.001082278	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	55	2018-10-30_15:32:25	0	Ltd Random	False	0.6519484	68.30019	100	74.74297	29.98782	109.4596	0	89.96333	90	0	0	99.69791	0.3549008	19.92675	7.032959	4.68866	0	8.205132	0	0	0	0	0	0	1	0	0	1	1	
	56	2018-10-30_15:32:25	0	ZEROING DATA	True	0.4766086	99.91962	100	99.95406	0.0864563	0.000894818	0	0.2587882	0	0	0	99.99982	0.0003845992	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	57	2018-10-30_15:32:26	0	Ltd Random	True	0.593448	54.16077	100	73.80616	89.92804	89.99994	0	149.88	5.008956E-06	5.008956E-06	5.008956E-06	99.76192	0.3664533	5.626358	5.626358	0	0	0	0	0	0	0	0	0	1	0	1	1	1	
	58	2018-10-30_15:32:26	0	ZEROING DATA	True	0.5328814	99.9257	100	99.95754	0.1509094	0.0002526556	0	0.2521309	0	0	0	99.99966	0.0004481034	21.33336	5.626374	5.860831	0	9.846152	0	0	0	0	1	1	1	1	1	1	1	
	59	2018-10-30_15:32:34	0	Presets_dockPreset_1	True	7.155607	58.30077	89.69836	70.53875	6.082802E-36	150	0	150	15.34851	7.4849	48.14394	96.634	0.4121971	101.0403	32.58598	32.11733	0	36.33701	0	0	0	0	1	0	1	0	0	0	0	
	60	2018-10-30_15:32:34	0	ZEROING DATA	True	0.4758947	99.84806	100	99.91318	8.813107E-39	0.001042221	0	0.3917148	0	0	0	99.99979	0.0004363966	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	61	2018-10-30_15:32:35	0	Ltd Random	True	0.5960901	79.1809	33.33333	57.15099	29.97437	29.99997	0	89.9232	30	180	180	99.64241	0.5998861	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	62	2018-10-30_15:32:36	0	ZEROING DATA	True	0.4748415	99.84576	100	99.91187	0.08624268	0.0002481645	0	0.2587361	0	0	0	99.99979	0.0003835855	8.674011	8.674011	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	63	2018-10-30_15:32:36	0	Ltd Random	False	0.4773885	67.57223	50	57.66032	89.73822	50.48679	0	89.73849	30	90	180	99.71889	0.5888484	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	64	2018-10-30_15:32:37	0	ZEROING DATA	True	0.5331931	99.70033	100	99.82876	0.1410217	0.0001253502	0	0.1410263	0	0	0	99.99979	0.000313526	11.01836	0	5.391968	0	5.626388	0	0	0	0	1	1	1	1	1	1	1	
	65	2018-10-30_15:32:38	0	Ltd Random	False	0.5351986	87.38279	100	92.79016	29.95313	29.99994	0	29.95314	5.008956E-06	5.008956E-06	5.008956E-06	99.94653	0.09989581	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	
	66	2018-10-30_15:32:39	0	ZEROING DATA	True	1.134741	99.60927	100	99.77673	6.12297E-05	1.251916E-10	0	6.12297E-05	0	0	0	100	1.360661E-07	6.095207	6.095207	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	67	2018-10-30_15:32:40	0	Presets_dockPreset_3	False	0.6531916	50.32185	43.20627	47.26739	109.9499	113.2631	0	134.9385	0.06204033	153.8946	152.7915	99.44123	0.7387774	10.31504	0	4.923096	0	5.391945	0	0	0	0	0	0	1	0	1	0	0	
